,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts
0,QB,Tom Brady,20.988571166992188,9400,8.571428571428571,1,0,0,1,0,0,0,35
1,RB,Le'Veon Bell,18.614286150251115,9400,13.0,0,0,0,0,1,0,0,15
2,WR,Antonio Brown,17.214285714285715,9200,13.0,0,0,0,0,0,0,1,33
3,RB,Ezekiel Elliott,19.933333079020183,9000,7.666666666666668,0,0,0,0,1,0,0,44
4,WR,Julio Jones,11.599999745686851,8700,5.142857142857143,0,0,0,0,0,0,1,35
5,QB,Dak Prescott,23.706667582194015,8600,7.666666666666668,0,0,0,1,0,0,0,32
6,RB,Kareem Hunt,20.957142421177455,8500,6.833333333333332,1,0,0,0,1,0,0,34
7,QB,Drew Brees,18.729999542236328,8500,10.0,1,0,0,1,0,0,0,48
8,WR,A.J. Green,14.666666666666664,8500,5.0,1,0,0,0,0,0,1,23
9,TE,Rob Gronkowski,13.949999491373696,8400,8.571428571428571,1,0,0,0,0,1,0,57
10,RB,LeSean McCoy,14.166666666666664,8400,3.571428571428572,1,0,0,0,1,0,0,63
11,WR,Dez Bryant,11.783332824707033,8300,7.666666666666668,0,0,0,0,0,0,1,46
12,WR,Mike Evans,14.483333587646484,8200,7.428571428571429,1,0,0,0,0,0,1,61
13,QB,Matt Ryan,14.983333587646484,8100,5.142857142857143,0,0,0,1,0,0,0,39
14,WR,DeAndre Hopkins,15.449999491373696,8000,9.5,0,0,0,0,0,0,1,61
15,RB,Devonta Freeman,14.900000254313149,8000,5.142857142857143,0,0,0,0,1,0,0,44
16,QB,Deshaun Watson,23.51333363850911,8000,9.5,0,0,0,1,0,0,0,35
17,RB,Melvin Gordon,16.957142421177455,7900,5.0,0,0,0,0,1,0,0,28
18,QB,Russell Wilson,20.93999989827474,7900,9.333333333333334,1,0,0,1,0,0,0,42
19,QB,Carson Wentz,22.239998953683035,7900,3.8571428571428568,1,0,0,1,0,0,0,43
20,WR,Brandin Cooks,12.67142813546317,7900,8.571428571428571,1,0,0,0,0,0,1,52
21,QB,Kirk Cousins,20.763333638509113,7800,6.333333333333332,1,0,0,1,0,0,0,44
22,WR,Keenan Allen,10.385713849748884,7800,5.0,0,0,0,0,0,0,1,49
23,QB,Derek Carr,15.973332722981773,7800,9.333333333333334,0,0,0,1,0,0,0,41
24,QB,Cam Newton,18.654285975864955,7800,6.0,0,0,0,1,0,0,0,42
25,WR,Doug Baldwin,11.550000508626304,7700,9.333333333333334,1,0,0,0,0,0,1,38
26,QB,Matthew Stafford,16.803333282470707,7700,9.857142857142858,1,0,0,1,0,0,0,39
27,QB,Alex Smith,22.46571350097656,7700,6.833333333333332,1,0,0,1,0,0,0,32
28,QB,Tyrod Taylor,15.086666107177734,7600,3.571428571428572,1,0,0,1,0,0,0,37
29,QB,Jameis Winston,17.12000020345052,7600,7.428571428571429,1,0,0,1,0,0,0,52
30,WR,Tyreek Hill,13.67142813546317,7600,6.833333333333332,1,0,0,0,0,0,1,49
31,QB,Andy Dalton,13.800000508626304,7600,5.0,1,0,0,1,0,0,0,54
32,QB,Andrew Luck,21.380000813802084,7500,6.833333333333332,0,0,0,1,0,0,0,55
33,QB,Philip Rivers,16.248571123395646,7500,5.0,0,0,0,1,0,0,0,55
34,WR,Michael Thomas,11.633333841959633,7500,10.0,1,0,0,0,0,0,1,55
35,WR,Golden Tate,11.199999491373696,7400,9.857142857142858,1,0,0,0,0,0,1,63
36,WR,Chris Hogan,11.928571428571427,7400,8.571428571428571,1,0,0,0,0,0,1,53
37,QB,Ben Roethlisberger,13.557143075125554,7400,13.0,0,0,0,1,0,0,0,23
38,WR,Jarvis Landry,12.716667175292967,7400,10.714285714285714,0,0,0,0,0,0,1,27
39,TE,Zach Ertz,13.842857360839846,7300,3.8571428571428568,1,0,0,0,0,1,0,38
40,QB,Josh McCown,15.717142377580915,7300,5.0,1,0,0,1,0,0,0,37
41,WR,Michael Crabtree,13.800000508626304,7200,9.333333333333334,0,0,0,0,0,0,1,65
42,WR,Amari Cooper,9.728571210588727,7200,9.333333333333334,0,0,0,0,0,0,1,32
43,TE,Travis Kelce,11.357142857142858,7200,6.833333333333332,1,0,0,0,0,1,0,48
44,WR,T.Y. Hilton,9.814285278320312,7200,6.833333333333332,0,0,0,0,0,0,1,16
45,RB,Mark Ingram,13.916666666666664,7200,10.0,1,0,0,0,1,0,0,40
46,WR,Stefon Diggs,14.960000610351562,7000,5.857142857142858,0,0,0,0,0,0,1,18
47,RB,Jordan Howard,12.771428789411273,6900,10.833333333333336,0,0,0,0,1,0,0,42
48,WR,Demaryius Thomas,8.65000025431315,6900,7.142857142857142,0,0,0,0,0,0,1,43
49,QB,Case Keenum,12.87999979654948,6900,5.857142857142858,0,0,0,1,0,0,0,39
50,RB,Jay Ajayi,8.683333079020183,6900,10.714285714285714,0,0,0,0,1,0,0,42
51,QB,Trevor Siemian,15.456666310628258,6800,7.142857142857142,0,0,0,1,0,0,0,42
52,QB,Jacoby Brissett,13.46571459089007,6700,6.833333333333332,0,0,0,1,0,0,0,38
53,QB,Joe Flacco,8.7514283316476,6700,6.666666666666668,1,0,0,1,0,0,0,41
54,WR,Pierre Garcon,9.614286150251116,6700,8.285714285714286,0,0,0,0,0,0,1,15
55,WR,Adam Thielen,10.214285714285714,6700,5.857142857142858,0,0,0,0,0,0,1,49
56,WR,Emmanuel Sanders,10.21999969482422,6600,7.142857142857142,0,0,0,0,0,0,1,55
57,WR,Kelvin Benjamin,9.157142639160156,6600,6.0,0,0,0,0,0,0,1,43
58,WR,Alshon Jeffery,8.914285932268415,6600,3.8571428571428568,1,0,0,0,0,0,1,37
59,RB,C.J. Anderson,10.833333333333336,6600,7.142857142857142,0,0,0,0,1,0,0,7
60,QB,Jay Cutler,10.800000508626304,6600,10.714285714285714,0,0,0,1,0,0,0,33
61,RB,Carlos Hyde,13.785714285714285,6600,8.285714285714286,0,0,0,0,1,0,0,38
62,WR,Will Fuller V,16.766666412353516,6500,9.5,0,0,0,0,0,0,1,41
63,RB,Jerick McKinnon,8.828571319580078,6500,5.857142857142858,0,0,0,0,1,0,0,38
64,WR,Devin Funchess,9.728571210588727,6500,6.0,0,0,0,0,0,0,1,57
65,RB,Doug Martin,12.866666158040367,6500,7.428571428571429,1,0,0,0,1,0,0,33
66,QB,Teddy Bridgewater,0.0,6500,5.857142857142858,0,0,0,1,0,0,0,62
67,QB,Matt Moore,14.520000457763672,6500,10.714285714285714,0,0,0,1,0,0,0,33
68,RB,Alvin Kamara,11.400000254313149,6400,10.0,1,0,0,0,1,0,0,56
69,QB,Sam Bradford,13.489999771118164,6400,5.857142857142858,0,0,0,1,0,0,0,36
70,TE,Jimmy Graham,7.833333333333332,6400,9.333333333333334,1,0,0,0,0,1,0,39
71,RB,Lamar Miller,12.366666158040367,6400,9.5,0,0,0,0,1,0,0,35
72,RB,Latavius Murray,4.642857142857143,6400,5.857142857142858,0,0,0,0,1,0,0,44
73,WR,Jermaine Kearse,10.042857578822542,6400,5.0,1,0,0,0,0,0,1,47
74,QB,Mitchell Trubisky,8.206666946411133,6400,10.833333333333336,0,0,0,1,0,0,0,54
75,QB,C.J. Beathard,14.300000190734865,6300,8.285714285714286,0,0,0,1,0,0,0,8
76,TE,Austin Seferian-Jenkins,9.259999847412107,6300,5.0,1,0,0,0,0,1,0,7
77,RB,Christian McCaffrey,10.9000004359654,6300,6.0,0,0,0,0,1,0,0,15
78,WR,Terrelle Pryor Sr.,6.21666653951009,6300,6.333333333333332,1,0,0,0,0,0,1,7
79,WR,Tyrell Williams,6.328571319580077,6200,5.0,0,0,0,0,0,0,1,32
80,QB,Brian Hoyer,11.083333333333336,6200,8.285714285714286,0,0,0,1,0,0,0,31
81,QB,Cody Kessler,3.740000009536743,6200,6.571428571428571,1,0,0,1,0,0,0,39
82,RB,Javorius Allen,10.271428789411273,6200,6.666666666666668,1,0,0,0,1,0,0,17
83,QB,DeShone Kizer,10.033333460489908,6100,6.571428571428571,1,0,0,1,0,0,0,33
84,RB,LeGarrette Blount,8.5,6100,3.8571428571428568,1,0,0,0,1,0,0,41
85,WR,DeSean Jackson,9.833333333333334,6100,7.428571428571429,1,0,0,0,0,0,1,53
86,WR,Marvin Jones Jr.,9.333333333333334,6100,9.857142857142858,1,0,0,0,0,0,1,7
87,TE,Jordan Reed,9.119999694824221,6100,6.333333333333332,1,0,0,0,0,1,0,30
88,RB,Bilal Powell,9.833333333333334,6100,5.0,1,0,0,0,1,0,0,31
89,QB,T.J. Yates,0.0,6000,3.571428571428572,1,0,0,1,0,0,0,11
90,QB,Kevin Hogan,9.69499969482422,6000,6.571428571428571,1,0,0,1,0,0,0,35
91,QB,Chad Kelly,0.0,6000,7.142857142857142,0,0,0,1,0,0,0,34
92,QB,Nathan Peterman,0.0,6000,3.571428571428572,1,0,0,1,0,0,0,17
93,QB,Bryce Petty,6.543333053588867,6000,5.0,1,0,0,1,0,0,0,41
94,QB,Tyler Bray,0.0,6000,6.833333333333332,1,0,0,1,0,0,0,14
95,QB,Taylor Heinicke,0.0,6000,8.571428571428571,1,0,0,1,0,0,0,11
96,QB,Patrick Mahomes II,0.0,6000,6.833333333333332,1,0,0,1,0,0,0,11
97,WR,Jeremy Maclin,7.180000305175781,6000,6.666666666666668,1,0,0,0,0,0,1,50
98,RB,Tevin Coleman,9.59999974568685,6000,5.142857142857143,0,0,0,0,1,0,0,33
99,QB,Derek Anderson,0.6800000071525574,6000,6.0,0,0,0,1,0,0,0,41
100,QB,Colt McCoy,0.0,6000,6.333333333333332,1,0,0,1,0,0,0,49
101,RB,Chris Thompson,16.233333587646484,6000,6.333333333333332,1,0,0,0,1,0,0,35
102,QB,Austin Davis,-0.10000000149011612,6000,9.333333333333334,1,0,0,1,0,0,0,32
103,QB,AJ McCarron,0.0,6000,5.0,1,0,0,1,0,0,0,39
104,QB,Jimmy Garoppolo,5.913333257039387,6000,8.571428571428571,1,0,0,1,0,0,0,44
105,QB,Jake Rudock,0.0,6000,9.857142857142858,1,0,0,1,0,0,0,12
106,QB,Joe Webb,0.11428571598870416,6000,3.571428571428572,1,0,0,1,0,0,0,25
107,QB,Scott Tolzien,3.3199999332427983,6000,6.833333333333332,0,0,0,1,0,0,0,23
