,Unnamed: 0,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts,Predicted Ownership
335,335,D,Detroit Lions,13,4500,9.857142857,1,1,0,0,0,0,0,7,18.5802527
225,225,D,Baltimore Ravens,10.71428571,4900,6.666666667,1,1,0,0,0,0,0,8,13.65174287
279,279,D,Buffalo Bills,9.333333333,4600,3.571428571,1,1,0,0,0,0,0,7,13.16096097
242,242,D,New Orleans Saints,10.83333333,4800,10,1,1,0,0,0,0,0,9,10.5438867
509,509,D,Chicago Bears,10,4200,10.83333333,0,1,0,0,0,0,0,8,8.547133421
200,200,D,Seattle Seahawks,9.5,5100,9.333333333,1,1,0,0,0,0,0,8,8.345007483
166,166,D,Philadelphia Eagles,8.285714286,5400,3.857142857,1,1,0,0,0,0,0,8,6.685679823
507,507,D,Pittsburgh Steelers,9.857142857,4400,13,0,1,0,0,0,0,0,8,6.183340728
345,345,D,Houston Texans,9.333333333,4500,9.5,0,1,0,0,0,0,0,8,6.170546487
513,513,D,Los Angeles Chargers,8.571428571,4000,5,0,1,0,0,0,0,0,7,5.00857533
510,510,D,Washington Redskins,7.666666667,4200,6.333333333,1,1,0,0,0,0,0,8,4.081238593
259,259,D,Carolina Panthers,7.428571429,4700,6,0,1,0,0,0,0,0,8,3.909260647
222,222,D,Kansas City Chiefs,7.142857143,4900,6.833333333,1,1,0,0,0,0,0,8,2.622952822
180,180,D,Minnesota Vikings,6.571428571,5300,5.857142857,0,1,0,0,0,0,0,8,2.10113823
241,241,D,Cincinnati Bengals,6.833333333,4800,5,1,1,0,0,0,0,0,8,2.084654901
258,258,D,Denver Broncos,6.833333333,4700,7.142857143,0,1,0,0,0,0,0,8,1.90031023
277,277,D,Atlanta Falcons,5,4600,5.142857143,0,1,0,0,0,0,0,8,0.904586683
334,334,D,Dallas Cowboys,6.333333333,4500,7.666666667,0,1,0,0,0,0,0,8,0.798364295
506,506,D,Miami Dolphins,6.666666667,4400,10.71428571,0,1,0,0,0,0,0,7,0.747068291
512,512,D,Cleveland Browns,5.857142857,4000,6.571428571,1,1,0,0,0,0,0,7,0.725077037
508,508,D,New York Jets,5.142857143,4300,5,1,1,0,0,0,0,0,8,0.71040304
344,344,D,Tampa Bay Buccaneers,6,4500,7.428571429,1,1,0,0,0,0,0,8,0.615294613
511,511,D,Indianapolis Colts,5,4100,6.833333333,0,1,0,0,0,0,0,9,0.515514672
338,338,D,New England Patriots,5,4500,8.571428571,1,1,0,0,0,0,0,8,0.413594754
514,514,D,San Francisco 49ers,3.857142857,4000,8.285714286,0,1,0,0,0,0,0,8,0.344986488
505,505,D,Oakland Raiders,3.571428571,4400,9.333333333,0,1,0,0,0,0,0,8,0.2875213
243,243,K,Jake Elliott,12.33333333,4800,3.857142857,1,0,1,0,0,0,0,35,11.65659125
247,247,K,Stephen Hauschka,10.83333333,4800,3.571428571,1,0,1,0,0,0,0,8,11.49285346
213,213,K,Harrison Butker,13.75,5000,6.833333333,1,0,1,0,0,0,0,44,10.41047039
208,208,K,Kai Forbath,10.28571429,5100,5.857142857,0,0,1,0,0,0,0,44,7.880334002
231,231,K,Graham Gano,9,4900,6,0,0,1,0,0,0,0,50,5.624963017
202,202,K,Matt Bryant,8.833333333,5100,5.142857143,0,0,1,0,0,0,0,46,5.603552345
193,193,K,Stephen Gostkowski,10.28571429,5200,8.571428571,1,0,1,0,0,0,0,15,4.158147886
289,289,K,Chandler Catanzaro,8.142857143,4600,5,1,0,1,0,0,0,0,9,4.056624303
223,223,K,Wil Lutz,10.83333333,4900,10,1,0,1,0,0,0,0,12,4.040212329
246,246,K,Justin Tucker,8.285714286,4800,6.666666667,1,0,1,0,0,0,0,46,3.79463862
233,233,K,Dan Bailey,7,4900,7.666666667,0,0,1,0,0,0,0,32,3.685687518
401,401,K,Adam Vinatieri,8.833333333,4500,6.833333333,0,0,1,0,0,0,0,45,3.221388705
249,249,K,Brandon McManus,7.4,4800,7.142857143,0,0,1,0,0,0,0,13,3.049382605
226,226,K,Chris Boswell,9.428571429,4900,13,0,0,1,0,0,0,0,43,3.009595946
248,248,K,Blair Walsh,7.666666667,4800,9.333333333,1,0,1,0,0,0,0,55,2.917307637
286,286,K,Randy Bullock,6.8,4600,5,1,0,1,0,0,0,0,14,2.818562385
285,285,K,Nick Rose,6,4600,6.333333333,1,0,1,0,0,0,0,40,2.800523984
212,212,K,Matt Prater,9.166666667,5000,9.857142857,1,0,1,0,0,0,0,18,2.58376185
278,278,K,Giorgio Tavecchio,7.571428571,4600,9.333333333,0,0,1,0,0,0,0,9,2.367448353
240,240,K,Ka'imi Fairbairn,8.5,4800,9.5,0,0,1,0,0,0,0,9,2.340584926
458,458,K,Robbie Gould,9.714285714,4500,8.285714286,0,0,1,0,0,0,0,28,2.144015751
384,384,K,Zane Gonzalez,4.714285714,4500,6.571428571,1,0,1,0,0,0,0,24,2.037468442
472,472,K,Nick Novak,5.666666667,4500,5,0,0,1,0,0,0,0,19,1.970044198
288,288,K,Patrick Murray,6,4600,7.428571429,1,0,1,0,0,0,0,20,1.780217139
407,407,K,Cody Parkey,7.2,4500,10.71428571,0,0,1,0,0,0,0,22,1.600389479
280,280,K,Connor Barth,4.428571429,4600,10.83333333,0,0,1,0,0,0,0,11,1.04790726
27,27,QB,Alex Smith,22.4657135,7700,6.833333333,1,0,0,1,0,0,0,32,24.15057727
5,5,QB,Dak Prescott,23.70666758,8600,7.666666667,0,0,0,1,0,0,0,32,18.48389554
